starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 02 12:36:37 2025	1740915397	1	3	4	3
Sun Mar 02 12:36:36 2025	1740915396	1	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	1
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	1
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	4
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	1	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	1	3	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	1
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	1	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	3
Sun Mar 02 12:36:36 2025	1740915396	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	1
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	4	4
Sun Mar 02 12:36:36 2025	1740915396	0	4	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	5	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	5	3
Sun Mar 02 12:36:37 2025	1740915397	0	4	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	2
Sun Mar 02 12:36:37 2025	1740915397	0	4	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	4	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	1
Sun Mar 02 12:36:37 2025	1740915397	0	4	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	4	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	2
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	3
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	1
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	3
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	4
Sun Mar 02 12:36:36 2025	1740915396	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:36 2025	1740915396	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	3
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	3
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	3
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	2
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	3
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	3
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:36 2025	1740915396	0	5	5	5
Sun Mar 02 12:36:36 2025	1740915396	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:36 2025	1740915396	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:36 2025	1740915396	0	5	5	4
Sun Mar 02 12:36:36 2025	1740915396	0	5	5	4
Sun Mar 02 12:36:36 2025	1740915396	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	4
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
Sun Mar 02 12:36:37 2025	1740915397	0	5	5	5
